
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
33016,32420,0,27,27,20527555.0,18235460.0,629648,48336424,14062003.8,6692.5,4273.0,3359,64106,11518.7,20278921.5,18005065.0,402111,48108156,14061160.5,241941.0,224910.0,221038,659435,83824.7,cudaLaunchKernel,"void soft_max_f32<(bool)1, (int)512, (int)512, float>(const float *, const T4 *, const float *, float *, soft_max_params)"
33016,32420,0,54,54,20220428.3,17930596.5,500961,48332370,13903672.1,14424.9,4434.0,3008,513542,69257.0,20205180.9,17925633.5,1010,48320659,13917576.2,822.5,832.0,800,864,16.0,cudaLaunchKernel,"k_compute_batched_ptrs(const void *, const void *, char *, const void **, void **, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long)"
33016,32420,0,54,54,20179816.1,18183750.0,34590,48670677,13928356.2,4871.1,4293.5,2976,12570,2103.7,20151098.7,18156723.0,1339,48642396,13928251.3,23846.4,23806.0,23294,24702,328.9,cudaLaunchKernelExC_v11060,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
33016,32420,0,27,26,20030699.0,17745834.0,135404,47864295,14065277.7,6734.6,4674.0,3126,27879,5849.2,20646689.7,18710089.0,463176,47300786,13724645.9,141979.7,126326.0,124310,556116,82772.6,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_tn_align4>(T1::Params)
33016,32420,0,54,54,19733538.5,17439410.5,20490,47271868,13888919.4,5860.2,4438.0,3034,20446,3695.0,19709149.4,17416094.0,545,47237831,13887997.8,18528.9,18350.0,8383,29150,9847.1,cudaLaunchKernelExC_v11060,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long long *, int)"
33016,32420,0,29,29,19392094.3,17551867.0,626148,48425899,14322884.8,4908.4,4152.0,2806,20307,3165.6,19226760.4,17440960.0,264431,48310991,14381076.3,160425.4,108343.0,106359,776579,174045.7,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_32x3_tn_align4>(T1::Params)
33016,32420,0,33,33,16698299.7,14421929.0,279014,48017566,14739485.9,5465.5,4501.0,2884,15738,2991.1,16544412.6,14252270.0,868,47841904,14728484.4,148421.6,157108.0,1024,328230,69215.1,cudaLaunchKernelExC_v11060,"scale_f32(const float *, float *, float, float, long long)"
33016,32420,0,22,22,15773161.4,11172818.5,113507,44232607,13638325.6,5449.0,4131.5,2892,32683,6111.5,15758804.1,11157834.0,102160,44217054,13639464.6,8908.3,8463.5,6399,12415,2508.4,cudaLaunchKernel,"void mul_mat_q_stream_k_fixup<(ggml_type)14, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
33016,32420,0,22,22,15766918.6,11164870.0,111220,44222966,13640146.5,5959.6,4387.5,3212,23836,5208.4,15493543.4,10682142.0,48060,43738059,13618739.2,267415.6,265467.0,55803,481977,215197.4,cudaLaunchKernel,"void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
33016,32420,0,1,1,3484438.0,3484438.0,3484438,3484438,0.0,5909.0,5909.0,5909,5909,0.0,3426757.0,3426757.0,3426757,3426757,0.0,51772.0,51772.0,51772,51772,0.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x64_64x4_tn_align8>(T1::Params)
33016,32420,0,2,2,2027200.5,2027200.5,1060431,2993970,1367218.5,5814.0,5814.0,3396,8232,3419.6,1282340.5,1282340.5,314337,2250344,1368963.7,739046.0,739046.0,737862,740230,1674.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x256_16x4_tn_align4>(T1::Params)
33016,32420,0,2,1,2005108.0,2005108.0,364472,3645744,2320209.7,13515.0,13515.0,3999,23031,13457.7,3310187.0,3310187.0,3310187,3310187,0.0,336502.0,336502.0,331558,341446,6991.9,cudaLaunchKernel,"void soft_max_f32<(bool)1, (int)4096, (int)1024, float>(const float *, const T4 *, const float *, float *, soft_max_params)"
33016,32420,0,8,7,1585079.9,1545019.5,126497,4505929,1468249.4,5998.4,3737.5,3004,21511,6313.9,1685780.0,1852531.0,127977,4397987,1452610.6,104067.8,103975.5,103384,105336,641.7,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4>(T1::Params)
33016,32420,0,4,3,1441225.0,602879.5,28226,4530915,2127896.8,16774.0,15337.0,3654,32768,14385.6,1888653.3,1148796.0,1550,4515614,2346217.2,8127.5,8271.5,3840,12127,4366.8,cudaLaunchKernelExC_v11060,"void cpy_scalar_transpose<float>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
33016,32420,0,4,3,651005.8,610549.5,598213,784711,89326.4,199847.0,4959.5,4758,784711,389909.3,600809.0,604973.0,592460,604994,7230.5,728.0,736.0,704,736,16.0,cudaLaunchKernel,"timestep_embedding_f32(const float *, float *, int, int, int)"
33016,32420,0,4,4,614067.3,608117.0,577956,662079,41699.0,35285.0,24379.0,7091,85291,35639.8,41335.5,35714.0,25871,68043,18429.1,537446.8,539175.0,531639,539798,3890.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Params)
33016,32420,0,4,3,462744.5,605269.0,27817,612623,290019.0,9916.3,5927.0,5182,22629,8487.7,593552.0,597909.0,584801,597946,7578.6,8423.0,8463.0,8223,8543,153.2,cudaLaunchKernelExC_v11060,"void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)128, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
33016,32420,0,1,1,216007.0,216007.0,216007,216007,0.0,26599.0,26599.0,26599,26599,0.0,399.0,399.0,399,399,0.0,189009.0,189009.0,189009,189009,0.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_tensorop_h1688gemm_128x128_tn_align1>(T1::Params)
33016,32420,0,1,0,57950.0,57950.0,57950,57950,0.0,33451.0,33451.0,33451,33451,0.0,,,,,0.0,24798.0,24798.0,24798,24798,0.0,cudaLaunchKernelExC_v11060,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long long, long long, uint3, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
33016,32420,0,1,1,33624.0,33624.0,33624,33624,0.0,10403.0,10403.0,10403,10403,0.0,1239.0,1239.0,1239,1239,0.0,21982.0,21982.0,21982,21982,0.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_32x5_tn_align8>(T1::Params)
33016,32420,0,2,1,17153.5,17153.5,14431,19876,3850.2,14492.0,14492.0,10067,18917,6257.9,1805.0,1805.0,1805,1805,0.0,2591.5,2591.5,2559,2624,46.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_h161616gemm_32x32_64x1_tn_align8>(T1::Params)

